alg_name,K,n,bidirectional_bool,anti_signal_velocity,residual_signal_velocity,error_bool,meas_error_bool,error_rate,positive,number_of_runs,T
object,int64,int64,bool,int64,int64,bool,bool,float64,int64,int64,int64
Signal,15,15,True,3,3,True,True,0.02,385711,306720000,169
Signal,15,15,True,3,3,True,True,0.02,387979,306720000,170
Signal,15,15,True,3,3,True,True,0.02,390337,306720000,171
Signal,15,15,True,3,3,True,True,0.02,392651,306720000,172
Signal,15,15,True,3,3,True,True,0.02,395032,306720000,173
Signal,15,15,True,3,3,True,True,0.02,397368,306720000,174
Signal,15,15,True,3,3,True,True,0.02,399613,306720000,175
Signal,15,15,True,3,3,True,True,0.02,402054,306720000,176
Signal,15,15,True,3,3,True,True,0.02,404278,306720000,177
Signal,15,15,True,3,3,True,True,0.02,406724,306720000,178
Signal,15,15,True,3,3,True,True,0.02,409159,306720000,179
Signal,15,15,True,3,3,True,True,0.02,411545,306720000,180
Signal,15,15,True,3,3,True,True,0.02,413884,306720000,181
Signal,15,15,True,3,3,True,True,0.02,416062,306720000,182
Signal,15,15,True,3,3,True,True,0.02,418548,306720000,183
Signal,15,15,True,3,3,True,True,0.02,420975,306720000,184
Signal,15,15,True,3,3,True,True,0.02,423435,306720000,185
Signal,15,15,True,3,3,True,True,0.02,425622,306720000,186
Signal,15,15,True,3,3,True,True,0.02,428084,306720000,187
Signal,15,15,True,3,3,True,True,0.02,430530,306720000,188
Signal,15,15,True,3,3,True,True,0.02,432876,306720000,189
Signal,15,15,True,3,3,True,True,0.02,435126,306720000,190
Signal,15,15,True,3,3,True,True,0.02,437448,306720000,191
Signal,15,15,True,3,3,True,True,0.02,439932,306720000,192
Signal,15,15,True,3,3,True,True,0.02,442228,306720000,193
Signal,15,15,True,3,3,True,True,0.02,444764,306720000,194
Signal,15,15,True,3,3,True,True,0.02,446944,306720000,195
Signal,15,15,True,3,3,True,True,0.02,449215,306720000,196
Signal,15,15,True,3,3,True,True,0.02,451680,306720000,197
Signal,15,15,True,3,3,True,True,0.02,454001,306720000,198
Signal,15,15,True,3,3,True,True,0.02,456474,306720000,199
Signal,25,25,True,3,3,True,True,0.02,0,499200000,0
Signal,25,25,True,3,3,True,True,0.02,0,499200000,1
Signal,25,25,True,3,3,True,True,0.02,0,499200000,2
Signal,25,25,True,3,3,True,True,0.02,0,499200000,3
Signal,25,25,True,3,3,True,True,0.02,7,499200000,4
Signal,25,25,True,3,3,True,True,0.02,22,499200000,5
Signal,25,25,True,3,3,True,True,0.02,50,499200000,6
Signal,25,25,True,3,3,True,True,0.02,73,499200000,7
Signal,25,25,True,3,3,True,True,0.02,109,499200000,8
Signal,25,25,True,3,3,True,True,0.02,167,499200000,9
Signal,25,25,True,3,3,True,True,0.02,234,499200000,10
Signal,25,25,True,3,3,True,True,0.02,327,499200000,11
Signal,25,25,True,3,3,True,True,0.02,411,499200000,12
Signal,25,25,True,3,3,True,True,0.02,528,499200000,13
Signal,25,25,True,3,3,True,True,0.02,644,499200000,14
Signal,25,25,True,3,3,True,True,0.02,786,499200000,15
Signal,25,25,True,3,3,True,True,0.02,899,499200000,16
Signal,25,25,True,3,3,True,True,0.02,1043,499200000,17
Signal,25,25,True,3,3,True,True,0.02,1201,499200000,18
Signal,25,25,True,3,3,True,True,0.02,1372,499200000,19
Signal,25,25,True,3,3,True,True,0.02,1571,499200000,20
Signal,25,25,True,3,3,True,True,0.02,1746,499200000,21
Signal,25,25,True,3,3,True,True,0.02,1874,499200000,22
Signal,25,25,True,3,3,True,True,0.02,2055,499200000,23
Signal,25,25,True,3,3,True,True,0.02,2287,499200000,24
Signal,25,25,True,3,3,True,True,0.02,2460,499200000,25
Signal,25,25,True,3,3,True,True,0.02,2706,499200000,26
Signal,25,25,True,3,3,True,True,0.02,2933,499200000,27
Signal,25,25,True,3,3,True,True,0.02,3158,499200000,28
Signal,25,25,True,3,3,True,True,0.02,3450,499200000,29
Signal,25,25,True,3,3,True,True,0.02,3730,499200000,30
Signal,25,25,True,3,3,True,True,0.02,4017,499200000,31
Signal,25,25,True,3,3,True,True,0.02,4233,499200000,32
Signal,25,25,True,3,3,True,True,0.02,4529,499200000,33
Signal,25,25,True,3,3,True,True,0.02,4822,499200000,34
Signal,25,25,True,3,3,True,True,0.02,5082,499200000,35
Signal,25,25,True,3,3,True,True,0.02,5396,499200000,36
Signal,25,25,True,3,3,True,True,0.02,5698,499200000,37
Signal,25,25,True,3,3,True,True,0.02,5972,499200000,38
Signal,25,25,True,3,3,True,True,0.02,6267,499200000,39
Signal,25,25,True,3,3,True,True,0.02,6600,499200000,40
